grid_i,lat,lon,breadcrumb_count,n_routes
46333,41.78117584065337,-73.93696627031233,62595.0,398
46334,41.792617766959594,-73.93856708994542,119826.0,376
46335,41.8041104034226,-73.93889608244112,53819.0,264
46633,41.77945077318483,-73.93007378553855,81603.0,358
46634,41.790128272343836,-73.92719486418626,34213.0,231
43644,41.9262232383223,-74.06106203265227,204878.0,935
43944,41.92555569492092,-74.04692459149827,42074.0,719
43945,41.93530047221273,-74.0463803308891,73638.0,569
44245,41.93851843492509,-74.03243565478625,107828.0,686
42729,41.727161343847655,-74.10152831833301,173904.0,1076
42730,41.73801366775035,-74.0983626103832,128187.0,1748
43030,41.74223711575211,-74.08760010976806,147276.0,1329
44244,41.9279706937418,-74.0327009765481,83793.0,400
44544,41.92843534531547,-74.01977343192765,132180.0,702
44545,41.935783974371006,-74.02312815844633,99508.0,728
44844,41.92722003089939,-74.00757370389323,92675.0,485
43040,41.87296122443132,-74.08418357649863,69051.0,450
43340,41.87099468451585,-74.07477267101099,170477.0,431
43341,41.890748248523245,-74.07807607546836,20924.0,332
39473,42.3116517331703,-74.246448979425,33735.0,200
39772,42.30406546642784,-74.23170355103704,58340.0,341
39773,42.31000288900192,-74.23417139485876,35206.0,273
40072,42.30194079287413,-74.22226130409062,83386.0,338
41525,41.67235733394152,-74.15474026302533,121294.0,770
41526,41.68223237409052,-74.15210382665573,218719.0,1168
46646,41.95393847842739,-73.92687481140925,227872.0,948
46647,41.96696832740374,-73.92334728762368,193036.0,1470
46330,41.73795674960849,-73.93411025653481,4981.0,96
46331,41.74941112134136,-73.93414872295169,5651.0,27
46630,41.7411581581626,-73.930379541477,15816.0,106
46631,41.752706938938964,-73.93031852527373,16531.0,141
46953,42.04808038482319,-73.91041276704055,103032.0,728
46954,42.05991514256248,-73.91239629767482,211510.0,937
46955,42.07318579800791,-73.91531380054552,145529.0,881
46632,41.766952511641605,-73.9259062827621,91740.0,203
44243,41.91227570512336,-74.03011514720521,44385.0,266
46332,41.76869242358595,-73.93668800563837,11333.0,37
45728,41.71402252510501,-73.9656506399216,499683.0,2159
45729,41.72577346723337,-73.97029470135963,447592.0,2080
46028,41.71081832752964,-73.95321414065619,545634.0,2239
46328,41.709979919001434,-73.93889577925877,649913.0,2113
46628,41.71179022490625,-73.92707774501321,662496.0,2171
37038,41.84616261338239,-74.34889311342197,12636.0,108
37039,41.85947979177638,-74.34856205956052,9874.0,110
37338,41.844297531741695,-74.34677184336721,11707.0,117
37339,41.860884677269226,-74.34674774116414,14311.0,111
46952,42.03367273229232,-73.91165888705632,23919.0,92
47252,42.03232100441432,-73.8985026404488,110844.0,1113
36432,41.76572974707553,-74.38085464701066,53924.0,281
36433,41.78031036390605,-74.37943339557835,17122.0,59
36732,41.76651730320588,-74.36971649525114,68437.0,226
36733,41.77834412292373,-74.36986295950501,47959.0,183
47250,42.00873890368567,-73.90034104324107,8411.0,113
47251,42.02277388686596,-73.89970489129291,141311.0,1245
47550,42.00687349229143,-73.88118772634289,43484.0,585
47551,42.01979329773333,-73.88578961620301,80471.0,770
46055,42.07571568442995,-73.95130426311239,45427.0,223
46056,42.08748664843843,-73.95354741935644,59298.0,250
46057,42.09821274816735,-73.95333843299247,43025.0,234
44247,41.969186833574675,-74.03493884606866,150545.0,147
45428,41.711848713572564,-73.97802046226221,43993.0,434
45429,41.724312665278376,-73.98254665258004,43768.0,1351
46945,41.9379721952185,-73.91459589087171,225493.0,1084
46946,41.95004137939787,-73.91109509139008,56853.0,772
44543,41.91221336535439,-74.0223427787565,46866.0,248
33160,42.14164727269942,-74.52721395426964,15985.0,110
33459,42.12935327869367,-74.51467262612601,32948.0,91
33460,42.13659353094304,-74.51536146259251,41334.0,131
39130,41.741766542603344,-74.25487373459119,51834.0,586
39430,41.73654180532495,-74.24711942917504,144939.0,764
39730,41.735805528702514,-74.2348603006028,329789.0,964
46932,41.764799773953484,-73.91164015384184,67871.0,248
40673,42.31266889928802,-74.19015772059285,86938.0,287
40973,42.312746828400314,-74.18123029405172,181195.0,275
41273,42.31493341109766,-74.17080708989825,31331.0,154
43048,41.98208489318202,-74.08872072942624,83956.0,629
43049,41.99306344334695,-74.08705199686024,164955.0,668
43348,41.98076391040158,-74.07066308520025,158717.0,155
43349,41.99154576884076,-74.07255264889827,77518.0,58
35823,41.64473442625819,-74.40526861140525,6120.0,29
35824,41.66235721354368,-74.40376014035512,8336.0,125
33760,42.14030304426829,-74.50023370599185,146466.0,188
34060,42.14183080600162,-74.49070927140026,39406.0,151
37032,41.76622230792939,-74.3541517626593,244228.0,283
37332,41.766955723255116,-74.34428679927622,49318.0,233
43331,41.74918717690714,-74.07582460393228,145924.0,1259
47549,41.99370721455944,-73.88569638518794,106103.0,771
47849,41.995250746379725,-73.87493321308615,105035.0,876
47850,42.0065011564412,-73.8756800433186,77888.0,779
38826,41.689828794476036,-74.27224246716015,52969.0,139
39125,41.672741912190794,-74.26186497418331,121592.0,594
39126,41.68442996687915,-74.26565476199612,78905.0,141
46027,41.70358683415007,-73.95041481781723,50120.0,438
46327,41.70210497191254,-73.9390238377894,151206.0,728
46627,41.700383408194625,-73.92641242557481,75657.0,485
44268,42.24673109579214,-74.03129199817883,99649.0,192
44568,42.25012437579246,-74.02059308117714,273271.0,393
33759,42.12982796670354,-74.50441632129608,46107.0,143
44837,41.83342177079055,-74.01025801165356,43034.0,310
44838,41.846604827752365,-74.00694721637744,76062.0,418
45137,41.8317349580875,-73.99118355143314,54671.0,221
45138,41.84701311349369,-73.99566359357489,65727.0,478
41565,42.2034932925831,-74.1487883896228,16341.0,7
41864,42.19493458865367,-74.13888076941619,130655.0,476
41865,42.204856588691705,-74.14116220167259,45507.0,104
44230,41.73879165023476,-74.03378037194427,262384.0,1663
44530,41.737853329623945,-74.01989283849448,221601.0,1297
44830,41.73693485902565,-74.00494974519987,360352.0,2099
39729,41.72684173471596,-74.23678033617442,345521.0,498
39171,42.28954880892908,-74.26093292949747,39366.0,33
39172,42.299746210224626,-74.25871808261597,74448.0,228
39472,42.30346675700584,-74.24896094557337,35863.0,235
42731,41.75081578730096,-74.09930701082448,480486.0,2740
42732,41.76471617590103,-74.09807572169576,166115.0,1883
44267,42.23912123335809,-74.03076989139511,56397.0,65
44567,42.23765535496565,-74.02417630952773,39159.0,57
33758,42.11987329779828,-74.50444384415351,3361.0,72
43664,42.195502614765516,-74.06099298266047,13789.0,45
43964,42.19525893038989,-74.04710898872911,9875.0,36
43965,42.20201863470776,-74.04488010154179,2789.0,17
44264,42.195708880482215,-74.03539602666852,10908.0,26
44265,42.20332031543943,-74.03544142296124,2526.0,18
41224,41.65793279700133,-74.16345127367711,78202.0,629
41524,41.66463913117463,-74.15862918042058,18499.0,666
46357,42.10094566294883,-73.93829417635469,32366.0,134
43355,42.07137714211814,-74.07178881310674,148397.0,633
43655,42.077138566201114,-74.06211764750151,72183.0,626
43656,42.08601457249316,-74.06045259009669,107711.0,622
43050,42.00437647902507,-74.08348071383259,34484.0,410
43051,42.020162799341655,-74.08687913242946,76101.0,494
43351,42.01823922381128,-74.07476429050023,130581.0,670
43352,42.033260615752226,-74.0689122492549,42140.0,274
47843,41.91310879747174,-73.87123379391686,53673.0,296
47844,41.926541553474266,-73.8760589380801,51305.0,357
47845,41.94115623807829,-73.87626884962658,98794.0,911
31963,42.18274358382541,-74.5856138309,11246.0,38
50238,41.8471270234438,-73.76311632990989,43504.0,271
50239,41.85733690984609,-73.76576760587079,62888.0,181
41826,41.68918497903463,-74.14523254898826,71017.0,956
41827,41.698488331682654,-74.14025209948892,186957.0,948
45128,41.71772783487851,-73.99055968927627,7572.0,30
45129,41.723128016278096,-73.99020396152748,31828.0,196
42166,42.22094922814379,-74.1255621779861,27896.0,143
42466,42.21610561658932,-74.11716041761677,55180.0,134
42165,42.209919267881716,-74.12419437154347,6090.0,117
42465,42.2105856009954,-74.11425192571039,42193.0,135
46034,41.79512822521303,-73.95931487964825,9154.0,200
40029,41.73036459456505,-74.21704526297258,117610.0,890
40329,41.730187102638965,-74.2093376859647,92688.0,886
40330,41.736195518610586,-74.205289243174,165653.0,1173
40630,41.73719742255515,-74.19359834958412,457218.0,1336
43031,41.749533866994696,-74.0878694367253,828602.0,3277
43330,41.74328970603991,-74.07233942282583,157834.0,1139
43630,41.74109648242928,-74.05984534200671,213525.0,1335
45442,41.90195236300096,-73.9782898615757,49677.0,294
45443,41.91524296913608,-73.9819117749548,76241.0,485
45145,41.9383685209702,-73.99361676078777,20491.0,141
44269,42.25999337977404,-74.02917417048658,18229.0,316
40631,41.75073662166298,-74.19178859989434,77644.0,460
40931,41.751760537259194,-74.17983029055938,105354.0,841
41231,41.75595010114529,-74.16660523137053,220736.0,578
41232,41.76435890179053,-74.1633771179436,155147.0,468
43663,42.180155776795,-74.0601852079106,38733.0,187
43963,42.179520619848425,-74.0465148424405,50004.0,191
44263,42.17731081269272,-74.03302923716484,42481.0,199
42154,42.06180744434912,-74.12290087657878,74962.0,411
42155,42.071753630511466,-74.1248324757824,84129.0,225
42455,42.075176973288066,-74.11323983845274,15757.0,26
42456,42.08032075891472,-74.10756679806202,258.0,21
42756,42.08432036029157,-74.10001187958271,11456.0,22
46934,41.79076341961995,-73.91353955099216,45199.0,309
43036,41.81955184080113,-74.08444419181036,227090.0,2310
43037,41.833916681982416,-74.08733535035715,426295.0,2293
43038,41.84368581286728,-74.08666498796116,552487.0,2260
